Data,Produto,Categoria,Vendedor,Quantidade,Preco_Unitario
02/08/2026,Notebook Pro,Eletrônicos,Rafael,5,3499.9
01/08/2026,Cadeira Office,Móveis,Rafael,1,899.9
14/08/2026,Teclado Mecânico,Acessórios,Beatriz,2,349.9
11/03/2026,Smartphone X,Eletrônicos,Rafael,3,2199.9
27/04/2026,Monitor 27,Eletrônicos,Lucas,4,1299.9
29/01/2026,Webcam HD,eletrônicos,Rafael,2,219.9
13/03/2026,Smartphone X,Eletrônicos,Beatriz,2,2199.9
06/03/2026,Teclado Mecânico,Acessórios,Lucas,1,349.9
17/06/2026,Luminária LED,Casa,Rafael,4,119.9
05/05/2026,Webcam HD,Acessórios,Beatriz,2,219.9
20/02/2026,Teclado Mecânico,Acessórios,Lucas,5,349.9
02/08/2026,Mouse Wireless,Acessórios,Beatriz,4,129.9
25/02/2026,Mesa Escritório,Móveis,Beatriz,4,749.9
25/06/2026,Smartphone X,Eletrônicos,Beatriz,1,2199.9
05/04/2026,Mouse Wireless,Acessórios,Rafael,2,129.9
16/07/2026,Mouse Wireless,Acessórios,Lucas,3,129.9
26/04/2026,Mesa Escritório,Móveis,Amanda,2,749.9
11/05/2026,Luminária LED,Casa,Amanda,4,119.9
24/06/2026,Notebook Pro,Eletrônicos,Amanda,5,3499.9
10/08/2026,Mouse Wireless,Acessórios,Amanda,4,129.9
23/06/2026,Teclado Mecânico,Acessórios,Carlos,2,349.9
14/03/2026,Monitor 27,Eletrônicos,Amanda,2,1299.9
03/07/2026,Mouse Wireless,Acessórios,Lucas,3,129.9
06/06/2026,Cadeira Office,Móveis,Carlos,4,899.9
15/07/2026,Notebook Pro,Eletrônicos,Rafael,5,3499.9
16/06/2026,Mesa Escritório,Móveis,Beatriz,3,749.9
24/02/2026,Headset Gamer,Acessórios,Beatriz,4,279.9
15/02/2026,Webcam HD,Acessórios,Carlos,3,219.9
04/06/2026,Mesa Escritório,Móveis,Amanda,5,749.9
04/01/2026,Teclado Mecânico,Acessórios,Carlos,2,349.9
23/07/2026,Monitor 27,Eletrônicos,Carlos,1,1299.9
01/02/2026,Mesa Escritório,Móveis,Beatriz,1,749.9
13/07/2026,Notebook Pro,Eletrônicos,Amanda,2,3499.9
25/02/2026,Teclado Mecânico,Acessórios,Carlos,1,349.9
03/08/2026,Mouse Wireless,Acessórios,Amanda,5,129.9
01/02/2026,Cadeira Office,Móveis,Amanda,5,899.9
28/07/2026,Webcam HD,Acessórios,Carlos,4,219.9
06/08/2026,Luminária LED,Casa,Amanda,4,119.9
12/03/2026,Webcam HD,,Amanda,5,219.9
12/01/2026,Cadeira Office,Móveis,Beatriz,3,899.9
25/07/2026,Mouse Wireless,Acessórios,Carlos,2,129.9
15/08/2026,Webcam HD,Acessórios,Carlos,2,219.9
01/05/2026,Monitor 27,Eletrônicos,Rafael,4,1299.9
12/06/2026,Mesa Escritório,Móveis,Amanda,5,749.9
05/06/2026,Mesa Escritório,Móveis,Lucas ,2,749.9
05/01/2026,Monitor 27,Eletrônicos,Rafael,2,1299.9
02/01/2026,Headset Gamer,Acessórios,Lucas,2,279.9
25/01/2026,Monitor 27,Eletrônicos,Beatriz,3,1299.9
12/05/2026,Monitor 27,Eletrônicos,Lucas,3,1299.9
13/08/2026,Headset Gamer,Acessórios,Carlos,2,279.9
18/06/2026,Notebook Pro,Eletrônicos,Lucas,4,3499.9
03/03/2026,Notebook Pro,Eletrônicos,Carlos,1,3499.9
26/05/2026,Cadeira Office,Móveis,Carlos,4,899.9
17/03/2026,Monitor 27,Eletrônicos,Amanda,5,1299.9
15/07/2026,Mesa Escritório,Móveis,Carlos,4,749.9
06/05/2026,Headset Gamer,Acessórios,Amanda,1,279.9
02/01/2026,Notebook Pro,Eletrônicos,Lucas,3,3499.9
07/08/2026,Monitor 27,Eletrônicos,Carlos,2,1299.9
11/03/2026,Smartphone X,Eletrônicos,Rafael,5,2199.9
07/06/2026,Luminária LED,Casa,Carlos,1,119.9
11/02/2026,Mouse Wireless,Acessórios,Beatriz,4,129.9
27/01/2026,Headset Gamer,Acessórios,Amanda,4,279.9
18/06/2026,Luminária LED,Casa,Beatriz,1,119.9
22/04/2026,Teclado Mecânico,Acessórios,Lucas,4,349.9
16/01/2026,Smartphone X,Eletrônicos,Beatriz,1,2199.9
17/03/2026,Mesa Escritório,Móveis,Carlos,3,749.9
15/06/2026,Monitor 27,Eletrônicos,Lucas,4,1299.9
04/02/2026,Webcam HD,Acessórios,Beatriz,2,219.9
18/07/2026,Teclado Mecânico,Acessórios,Lucas,5,349.9
05/01/2026,Headset Gamer,Acessórios,Rafael,3,279.9
11/08/2026,Headset Gamer,Acessórios,Amanda,4,279.9
13/04/2026,Teclado Mecânico,Acessórios,Rafael,4,349.9
16/03/2026,Webcam HD,Acessórios,Amanda,4,219.9
26/03/2026,Mesa Escritório,Móveis,Amanda,1,749.9
03/02/2026,Notebook Pro,Eletrônicos,Amanda,3,3499.9
08/02/2026,Smartphone X,Eletrônicos,Carlos,3,2199.9
22/01/2026,Mouse Wireless,Acessórios,Lucas,4,129.9
12/08/2026,Webcam HD,Acessórios,Amanda,4,219.9
19/01/2026,Smartphone X,Eletrônicos,Amanda,2,2199.9
04/08/2026,Headset Gamer,Acessórios,Amanda,2,279.9
15/07/2026,Monitor 27,Eletrônicos,Rafael,5,1299.9
27/06/2026,Smartphone X,Eletrônicos,Rafael,1,2199.9
14/03/2026,Luminária LED,Casa,Amanda,2,119.9
05/04/2026,Notebook Pro,Eletrônicos,Rafael,1,3499.9
12/06/2026,Notebook Pro,Eletrônicos,Beatriz,3,3499.9
22/07/2026,Headset Gamer,Acessórios,Lucas,2,279.9
06/01/2026,Mesa Escritório,Móveis,Beatriz,4,749.9
19/02/2026,Mesa Escritório,Móveis,Rafael,3,749.9
17/02/2026,Headset Gamer,Acessórios,Beatriz,4,279.9
23/07/2026,Cadeira Office, ELETRÔNICOS ,Lucas,1,899.9
30/08/2026,Webcam HD,Acessórios,Rafael,5,219.9
03/04/2026,Webcam HD,Acessórios,Beatriz,2,219.9
25/07/2026,Headset Gamer,Acessórios,Amanda,4,279.9
11/01/2026,Luminária LED,Casa,Beatriz,3,119.9
10/06/2026,Headset Gamer,Acessórios,Beatriz,5,279.9
20/06/2026,Teclado Mecânico,Acessórios,Amanda,4,349.9
12/01/2026,Teclado Mecânico,Acessórios,Amanda,5,349.9
26/04/2026,Webcam HD,Acessórios,Lucas,4,219.9
18/01/2026,Cadeira Office,Móveis,Beatriz,4,899.9
02/06/2026,Luminária LED,Casa,Amanda,5,119.9
02/01/2026,Mouse Wireless,Acessórios,Amanda,1,129.9
05/08/2026,Webcam HD,eletrônicos,Amanda,2,219.9
22/07/2026,Notebook Pro,Eletrônicos,Lucas,1,3499.9
03/03/2026,Smartphone X,Eletrônicos,Lucas,4,2199.9
20/04/2026,Luminária LED,Casa,Rafael,5,119.9
05/01/2026,Mesa Escritório,Móveis,Carlos,5,749.9
25/03/2026,Mesa Escritório,Móveis,Carlos,2,749.9
04/04/2026,Luminária LED,Casa,Lucas,1,119.9
10/05/2026,Smartphone X,Eletrônicos,Amanda,3,2199.9
11/07/2026,Cadeira Office,Móveis,Beatriz,2,899.9
16/07/2026,Mesa Escritório,Móveis,Lucas,2,749.9
28/04/2026,Notebook Pro,Eletrônicos,Amanda,3,3499.9
17/05/2026,Headset Gamer,Acessórios,Beatriz,3,279.9
09/06/2026,Headset Gamer,Acessórios,Rafael,1,279.9
26/07/2026,Notebook Pro,Eletrônicos,Rafael,4,3499.9
24/01/2026,Notebook Pro,Eletrônicos,Beatriz,3,3499.9
05/05/2026,Mouse Wireless,Acessórios,Lucas,3,129.9
05/04/2026,Cadeira Office,Móveis,Rafael,5,899.9
28/05/2026,Luminária LED,Casa,Beatriz,2,119.9
26/08/2026,Monitor 27,Eletrônicos,Lucas,2,1299.9
01/04/2026,Notebook Pro,Eletrônicos,Carlos,3,3499.9
01/08/2026,Smartphone X,Eletrônicos,Beatriz,4,2199.9
28/02/2026,Teclado Mecânico,Acessórios,Amanda,4,349.9
26/07/2026,Teclado Mecânico,Acessórios,Amanda,4,349.9
21/07/2026,Smartphone X,Eletrônicos,Carlos,1,2199.9
26/04/2026,Teclado Mecânico,Acessórios,Carlos,2,349.9
25/04/2026,Cadeira Office,Móveis,Rafael,5,899.9
24/04/2026,Monitor 27,Eletrônicos,Rafael,5,1299.9
13/02/2026,Smartphone X,Eletrônicos,Lucas,1,2199.9
24/04/2026,Mouse Wireless,Acessórios,Carlos,3,129.9
25/02/2026,Headset Gamer,Acessórios,Beatriz,4,279.9
01/01/2026,Webcam HD,Acessórios,Beatriz,3,219.9
03/08/2026,Teclado Mecânico,Acessórios,Carlos,5,349.9
18/05/2026,Monitor 27,Eletrônicos,Lucas,5,1299.9
10/05/2026,Teclado Mecânico,Acessórios,Rafael,4,349.9
16/07/2026,Teclado Mecânico,Acessórios,Rafael,2,349.9
25/03/2026,Teclado Mecânico,Acessórios,Amanda,1,349.9
20/03/2026,Notebook Pro,Eletrônicos,Rafael,1,3499.9
03/02/2026,Mouse Wireless,Acessórios,Carlos,3,129.9
08/04/2026,Smartphone X,Eletrônicos,Carlos,2,2199.9
08/01/2026,Mouse Wireless,Acessórios,Rafael,1,129.9
05/03/2026,Monitor 27,Eletrônicos,Amanda,5,1299.9
24/01/2026,Webcam HD,Acessórios,Lucas,4,219.9
16/07/2026,Cadeira Office,Móveis,Rafael,4,899.9
06/02/2026,Cadeira Office,Móveis,Rafael,2,899.9
13/03/2026,Webcam HD,Acessórios,Beatriz,3,219.9
12/01/2026,Notebook Pro,Eletrônicos,Lucas,4,3499.9
13/01/2026,Cadeira Office,Móveis,Carlos,2,899.9
06/03/2026,Teclado Mecânico,Acessórios,Carlos,2,349.9
23/05/2026,Teclado Mecânico,Acessórios,Amanda,5,349.9
17/04/2026,Monitor 27,Eletrônicos,Beatriz,3,1299.9
04/05/2026,Mesa Escritório,Móveis,Rafael,3,749.9
19/02/2026,Luminária LED,Casa,Amanda,1,119.9
27/07/2026,Smartphone X,Eletrônicos,Lucas,1,2199.9
12/06/2026,Monitor 27,Eletrônicos,Beatriz,3,1299.9
12/01/2026,Webcam HD,Acessórios,Rafael,4,
24/08/2026,Mesa Escritório, ELETRÔNICOS ,Amanda,5,749.9
24/04/2026,Cadeira Office,Móveis,Lucas,5,899.9
25/03/2026,Notebook Pro,Eletrônicos,Amanda,3,3499.9
29/01/2026,Monitor 27,Eletrônicos,Beatriz,5,1299.9
01/08/2026,Smartphone X,Eletrônicos,Carlos,2,2199.9
12/04/2026,Monitor 27, ELETRÔNICOS ,Rafael,3,1299.9
02/08/2026,Cadeira Office,Móveis,Carlos,3,
31/07/2026,Headset Gamer,Acessórios,Beatriz,4,279.9
19/01/2026,Cadeira Office,Móveis,Carlos,1,899.9
09/06/2026,Cadeira Office,Móveis,Carlos,1,899.9
07/02/2026,Mesa Escritório,Móveis,Beatriz,2,749.9
05/05/2026,Luminária LED,Casa,Carlos,3,119.9
25/04/2026,Mouse Wireless,Acessórios,Carlos,3,129.9
19/02/2026,Smartphone X,Eletrônicos,Beatriz,4,2199.9
30/05/2026,Notebook Pro,Eletrônicos,Beatriz,5,3499.9
04/01/2026,Mesa Escritório,Móveis,Carlos,4,749.9
08/07/2026,Luminária LED,Casa,Rafael,2,119.9
17/01/2026,Teclado Mecânico,Acessórios,Lucas,5,349.9
05/05/2026,Mesa Escritório,Móveis,Lucas,3,749.9
15/05/2026,Webcam HD,Acessórios,Amanda,1,219.9
24/05/2026,Mesa Escritório,Móveis,Rafael,1,749.9
25/05/2026,Monitor 27,Eletrônicos,Lucas,4,1299.9
26/07/2026,Luminária LED,Casa,Carlos,1,119.9
11/07/2026,Mesa Escritório,Móveis,Carlos,5,749.9
11/01/2026,Smartphone X,Eletrônicos,Lucas,4,2199.9
30/07/2026,Teclado Mecânico,Acessórios,Lucas,2,349.9
05/02/2026,Monitor 27,Eletrônicos,Lucas,2,1299.9
19/07/2026,Headset Gamer,Acessórios,Carlos,4,279.9
28/01/2026,Teclado Mecânico,Acessórios,Carlos,1,349.9
27/08/2026,Headset Gamer,Acessórios,Rafael,5,279.9
05/07/2026,Teclado Mecânico,Acessórios,Carlos,5,349.9
07/05/2026,Webcam HD,Acessórios,Beatriz,2,219.9
30/01/2026,Headset Gamer,Acessórios,Beatriz,5,279.9
04/07/2026,Teclado Mecânico,Acessórios,Rafael,5,349.9
01/02/2026,Teclado Mecânico,Acessórios,Amanda,2,349.9
30/07/2026,Webcam HD,Acessórios,Rafael,1,219.9
26/08/2026,Headset Gamer,Acessórios,Amanda,1,279.9
06/02/2026,Monitor 27,Eletrônicos,Lucas,4,1299.9
05/06/2026,Monitor 27,Eletrônicos,Lucas,5,1299.9
25/02/2026,Luminária LED,Casa,Lucas,3,119.9
06/04/2026,Headset Gamer,Acessórios,Beatriz,2,279.9
24/02/2026,Smartphone X,Eletrônicos,Rafael,4,2199.9
10/01/2026,Teclado Mecânico,Acessórios,Lucas,3,349.9
10/03/2026,Mesa Escritório,Móveis,Amanda,3,749.9
26/02/2026,Headset Gamer,Acessórios,Lucas,5,279.9
30/01/2026,Teclado Mecânico,Acessórios,Amanda,5,349.9
13/04/2026,Luminária LED,Casa,Rafael,2,119.9
28/06/2026,Monitor 27,Eletrônicos,Rafael,5,1299.9
22/03/2026,Webcam HD,Acessórios,Rafael,3,219.9
25/03/2026,Notebook Pro,Eletrônicos,Lucas,5,3499.9
13/08/2026,Headset Gamer,Acessórios,Rafael,2,279.9
29/03/2026,Teclado Mecânico,Acessórios,Rafael,5,349.9
17/01/2026,Mouse Wireless,Acessórios,Rafael,1,129.9
24/05/2026,Webcam HD,Acessórios,Amanda,1,219.9
11/07/2026,Notebook Pro,Eletrônicos,Rafael,1,3499.9
30/03/2026,Monitor 27,Eletrônicos,Lucas,1,1299.9
01/05/2026,Teclado Mecânico,Acessórios,Beatriz,4,349.9
03/07/2026,Mouse Wireless,Acessórios,Rafael,2,129.9
21/06/2026,Smartphone X,Eletrônicos,Rafael,4,2199.9
07/07/2026,Monitor 27,Eletrônicos,Beatriz,1,1299.9
22/08/2026,Teclado Mecânico,Acessórios,Beatriz,3,349.9
21/05/2026,Luminária LED,Casa,Rafael,4,119.9
11/05/2026,Smartphone X,Eletrônicos,Beatriz,1,2199.9
28/05/2026,Monitor 27,Eletrônicos,Carlos,2,1299.9
